pic,value,key,,,,,,,,,
Tamanid_1_seq_29,17,15,,,,,,,,,
ZF_1_seq_29,4,15,,,,,,,,,
Ackee_1_seq_31,17,15,,,,,,,,,
Ake_1_seq_31,12,15,,,,,,,,,
Finger_1_seq_31,10,15,,,,,,,,,
Gac_1_seq_31,12,15,,,,,,,,,
Noni_1_seq_31,10,15,,,,,,,,,
Sapota_1_seq_31,4,15,,,,,,,,,
Tamanid_1_seq_31,17,15,,,,,,,,,
ZF_1_seq_31,4,15,,,,,,,,,
Ackee_1_seq_2,12,15,,,,,,,,,
Ake_1_seq_2,17,15,,,,,,,,,
Finger_1_seq_2,12,15,,,,,,,,,
Gac_1_seq_2,10,15,,,,,,,,,
Noni_1_seq_2,4,15,,,,,,,,,
Sapota_1_seq_2,10,15,,,,,,,,,
Tamanid_1_seq_2,4,15,,,,,,,,,
ZF_1_seq_2,10,15,,,,,,,,,
Ackee_1_seq_4,12,15,,,,,,,,,
Ake_1_seq_4,17,15,,,,,,,,,
Finger_1_seq_4,12,15,,,,,,,,,
Gac_1_seq_4,10,15,,,,,,,,,
Noni_1_seq_4,4,15,,,,,,,,,
Sapota_1_seq_4,10,15,,,,,,,,,
Tamanid_1_seq_4,4,15,,,,,,,,,
ZF_1_seq_4,10,15,,,,,,,,,
Ackee_1_seq_6,12,15,,,,,,,,,
Ake_1_seq_6,17,15,,,,,,,,,
Finger_1_seq_6,12,15,,,,,,,,,
Gac_1_seq_6,10,15,,,,,,,,,
Noni_1_seq_6,4,15,,,,,,,,,
Sapota_1_seq_6,10,15,,,,,,,,,
Tamanid_1_seq_6,4,15,,,,,,,,,
ZF_1_seq_6,10,15,,,,,,,,,
Ackee_1_seq_8,12,15,,,,,,,,,
Ake_1_seq_8,17,15,,,,,,,,,
Finger_1_seq_8,12,15,,,,,,,,,
Gac_1_seq_8,10,15,,,,,,,,,
Noni_1_seq_8,4,15,,,,,,,,,
Sapota_1_seq_8,10,15,,,,,,,,,
Tamanid_1_seq_8,4,15,,,,,,,,,
ZF_1_seq_8,10,15,,,,,,,,,
Ackee_1_seq_10,12,15,,,,,,,,,
Ake_1_seq_10,17,15,,,,,,,,,
Finger_1_seq_10,12,15,,,,,,,,,
Gac_1_seq_10,10,15,,,,,,,,,
Noni_1_seq_10,4,15,,,,,,,,,
Sapota_1_seq_10,10,15,,,,,,,,,
Tamanid_1_seq_10,4,15,,,,,,,,,
ZF_1_seq_10,10,15,,,,,,,,,
Ackee_1_seq_12,12,15,,,,,,,,,
Ake_1_seq_12,17,15,,,,,,,,,
Finger_1_seq_12,12,15,,,,,,,,,
Gac_1_seq_12,10,15,,,,,,,,,
Noni_1_seq_12,4,15,,,,,,,,,
Sapota_1_seq_12,10,15,,,,,,,,,
Tamanid_1_seq_12,4,15,,,,,,,,,
ZF_1_seq_12,10,15,,,,,,,,,
Ackee_1_seq_14,12,15,,,,,,,,,
Ake_1_seq_14,17,15,,,,,,,,,
Finger_1_seq_14,12,15,,,,,,,,,
