,count,mean,std,min,25%,50%,75%,max,name
44,57856.0,78.13908808075222,37.85648574662225,10.29,49.309999999999995,66.73,100.92999999999999,239.73,data/FIN_Известные/Finik_2.png
45,88271.0,77.74898063916801,27.72473728230049,7.02,54.28,75.41999999999999,93.08,208.41,data/FIN_Известные/Tomat_2.png
46,114168.0,130.61741626375166,35.48377942916115,37.519999999999996,97.45,136.615,161.20000000000002,238.7,data/FIN_Известные/Tomat_3.png
47,113995.0,163.92782911531208,22.78309625006324,0.0,156.12,162.42,176.25,207.0,data/FIN_Известные/Limon_4b.png
48,69088.0,70.73452929597035,56.79811743700144,7.14,29.34,46.44,100.96,254.99999999999997,data/FIN_Известные/Finik_3.png
49,96465.0,123.21370942829004,28.18046827329684,55.02,104.13,118.92999999999999,132.12,254.99999999999997,data/FIN_Известные/Peper_8.png
50,71252.0,106.51256498063212,46.858908498840584,30.69,74.6775,93.13999999999999,120.39999999999999,254.99999999999997,data/FIN_Известные/Finik_1.png
51,102267.0,97.02840750193123,25.9514595851793,28.71,79.12,89.89,110.08,254.99999999999997,data/FIN_Известные/Tomat_1.png
52,99955.0,140.19342003901755,71.82607875442349,0.0,73.41,110.68,218.72000000000003,235.0,data/FIN_Известные/Kokos_5а.png
53,28721.0,141.38593468194006,53.898468370951434,0.0,104.07,139.44,187.87,235.0,data/FIN_Известные/Goroh_7.png
54,117911.0,170.41767663746384,19.73721722476558,117.6,153.18,167.58,189.65999999999997,209.57999999999998,data/FIN_Известные/Limon_8b.png
55,74127.0,165.26468115531452,19.36607459657704,42.209999999999994,155.64999999999998,169.60999999999999,178.48,207.0,data/FIN_Известные/Limon_3b.png
56,33510.0,139.41193225902714,25.369328300028894,51.04,124.75,140.0,155.91,207.79,data/FIN_Известные/Goroh_4а.png
57,54759.0,157.20271151774136,26.022549197516526,10.379999999999999,143.01,165.59,174.88,224.0,data/FIN_Известные/Banan_2c.png
58,38534.0,165.4577246068407,70.76711272329388,13.040000000000001,119.63749999999999,198.89999999999998,216.55999999999997,254.99999999999997,data/FIN_Известные/Redis_6c.png
59,111052.0,150.33099926160716,43.72982961237313,3.15,128.0475,153.35000000000002,187.99999999999997,229.99999999999997,data/FIN_Известные/Kokos_2а.png
60,92017.0,184.74380777465035,12.74502287676911,95.13,176.94,183.54,191.68,235.23,data/FIN_Известные/Limon_1а.png
61,108960.0,133.1094290565345,50.24543871902874,0.0,99.03999999999999,132.45999999999998,168.21,254.99999999999997,data/FIN_Известные/Kokos_8.png
62,85785.0,171.28556833945328,20.001553584953225,70.97,156.14,171.71999999999997,188.29,216.99999999999997,data/FIN_Известные/Limon_2b.png
63,34072.0,142.89689891993427,31.96880988949899,23.7,129.89,146.16,167.61999999999998,213.99,data/FIN_Известные/Goroh_5а.png
