,Session_Name_,Trial_Index_,Trial_Recycled_,block_number,pic_1,pic_type1_1,expected,pic_search_1,TRIAL_INDEX,RESPONSE,KEYPRESS,RT,DISPLAY_ON_TIME,KEY_RESPONSE_TIME,seq,presenting_type,prop_presentation
29,D150922,30,False,0,Sapota_1.jpg,0,q,Sapota_1_14.png,30,correct,q,1173,316286.87,317460.49,32,15,14
30,D150922,31,False,0,Noni_1.jpg,0,s,Noni_1_17.png,31,correct,s,930,323411.01,324341.1,32,14,17
31,D150922,32,False,0,Ake_1.jpg,0,q,Ake_1_14.png,32,correct,q,1469,330295.02,331764.86,32,15,14
0,M290722,1,False,0,Gac_1.jpg,0,s,Gac_1_17.png,1,correct,s,2639,772228.62,774867.95,15,16,17
1,M290722,2,False,0,ZF_1.jpg,0,s,ZF_1_17.png,2,incorrect,w,1868,780823.62,782692.02,15,16,17
2,M290722,3,False,0,Ackee_1.jpg,0,q,Ackee_1_14.png,3,correct,q,1094,788638.13,789732.61,15,17,14
3,M290722,4,False,0,Noni_1.jpg,0,q,Noni_1_14.png,4,correct,q,3048,795692.26,798740.29,15,17,14
4,M290722,5,False,0,Sapota_1.jpg,0,w,Sapota_1_15.png,5,correct,w,1350,804717.51,806068.48,15,14,15
5,M290722,6,False,0,Ake_1.jpg,0,w,Ake_1_15.png,6,correct,w,3407,812021.84,815428.89,15,14,15
6,M290722,7,False,0,Tamanid_1.jpg,0,a,Tamanid_1_16.png,7,incorrect,w,1090,821377.27,822467.57,15,15,16
7,M290722,8,False,0,Finger_1.jpg,0,a,Finger_1_16.png,8,incorrect,w,1245,828421.36,829667.31,15,15,16
8,M290722,9,False,0,Ake_1.jpg,0,a,Ake_1_16.png,9,correct,a,1350,835645.55,836995.74,15,14,16
9,M290722,10,False,0,Tamanid_1.jpg,0,s,Tamanid_1_17.png,10,incorrect,w,1213,842949.86,844163.73,15,15,17
10,M290722,11,False,0,Ackee_1.jpg,0,w,Ackee_1_15.png,11,correct,w,866,850114.03,850980.26,15,17,15
11,M290722,12,False,0,Sapota_1.jpg,0,a,Sapota_1_16.png,12,incorrect,q,1011,856927.95,857939.58,15,14,16
12,M290722,13,False,0,Gac_1.jpg,0,q,Gac_1_14.png,13,incorrect,a,2894,863892.07,866786.95,15,16,14
13,M290722,14,False,0,ZF_1.jpg,0,q,ZF_1_14.png,14,correct,q,1133,872727.25,873860.82,15,16,14
14,M290722,15,False,0,Noni_1.jpg,0,w,Noni_1_15.png,15,correct,w,2203,879801.32,882004.93,15,17,15
15,M290722,16,False,0,Finger_1.jpg,0,s,Finger_1_17.png,16,incorrect,w,1343,887956.1,889299.93,15,15,17
16,M290722,17,False,0,ZF_1.jpg,0,w,ZF_1_15.png,17,correct,w,1469,895270.35,896739.74,15,16,15
17,M290722,18,False,0,Tamanid_1.jpg,0,q,Tamanid_1_14.png,18,incorrect,w,909,902694.67,903604.36,15,15,14
18,M290722,19,False,0,Finger_1.jpg,0,q,Finger_1_14.png,19,correct,q,889,909578.72,910468.63,15,15,14
19,M290722,20,False,0,Sapota_1.jpg,0,s,Sapota_1_17.png,20,correct,s,1222,916412.68,917635.15,15,14,17
20,M290722,21,False,0,Noni_1.jpg,0,a,Noni_1_16.png,21,correct,a,1597,923606.87,925204.1,15,17,16
21,M290722,22,False,0,Ake_1.jpg,0,s,Ake_1_17.png,22,correct,s,1316,931151.26,932467.62,15,14,17
22,M290722,23,False,0,Ackee_1.jpg,0,a,Ackee_1_16.png,23,correct,a,1795,938415.46,940211.22,15,17,16
23,M290722,24,False,0,Gac_1.jpg,0,w,Gac_1_15.png,24,correct,w,948,946160.04,947108.48,15,16,15
24,M290722,25,False,0,Ackee_1.jpg,0,s,Ackee_1_17.png,25,correct,s,1941,953054.07,954995.39,15,17,17
25,M290722,26,False,0,Gac_1.jpg,0,a,Gac_1_16.png,26,correct,a,1182,960948.67,962130.93,15,16,16
26,M290722,27,False,0,ZF_1.jpg,0,a,ZF_1_16.png,27,correct,a,1579,968072.78,969652.27,15,16,16
27,M290722,28,False,0,Tamanid_1.jpg,0,w,Tamanid_1_15.png,28,correct,w,685,975607.15,976292.77,15,15,15
28,M290722,29,False,0,Finger_1.jpg,0,w,Finger_1_15.png,29,correct,w,1027,982241.09,983268.48,15,15,15
29,M290722,30,False,0,Sapota_1.jpg,0,q,Sapota_1_14.png,30,correct,q,1425,989235.17,990660.34,15,14,14
30,M290722,31,False,0,Noni_1.jpg,0,s,Noni_1_17.png,31,correct,s,605,996629.4,997235.39,15,17,17
31,M290722,32,False,0,Ake_1.jpg,0,q,Ake_1_14.png,32,incorrect,a,1093,1003183.24,1004276.47,15,14,14
0,O270722,1,False,0,Gac_1.jpg,0,s,Gac_1_17.png,1,correct,s,824,89673.28,90497.57,9,17,17
1,O270722,2,False,0,ZF_1.jpg,0,s,ZF_1_17.png,2,correct,s,900,96477.19,97377.7,9,17,17
2,O270722,3,False,0,Ackee_1.jpg,0,q,Ackee_1_14.png,3,incorrect,a,683,103351.21,104035.2,9,14,14
3,O270722,4,False,0,Noni_1.jpg,0,q,Noni_1_14.png,4,correct,q,791,109995.11,110786.95,9,14,14
4,O270722,5,False,0,Sapota_1.jpg,0,w,Sapota_1_15.png,5,correct,w,1056,116739.01,117795.31,9,15,15
5,O270722,6,False,0,Ake_1.jpg,0,w,Ake_1_15.png,6,correct,w,786,123743.17,124529.35,9,15,15
6,O270722,7,False,0,Tamanid_1.jpg,0,a,Tamanid_1_16.png,7,incorrect,s,1498,130487.1,131985.58,9,16,16
7,O270722,8,False,0,Finger_1.jpg,0,a,Finger_1_16.png,8,correct,a,2540,137941.44,140481.78,9,16,16
8,O270722,9,False,0,Ake_1.jpg,0,a,Ake_1_16.png,9,correct,a,967,146426.39,147394.09,9,15,16
9,O270722,10,False,0,Tamanid_1.jpg,0,s,Tamanid_1_17.png,10,correct,s,1878,153340.42,155218.67,9,16,17
10,O270722,11,False,0,Ackee_1.jpg,0,w,Ackee_1_15.png,11,correct,w,900,161165.0,162065.42,9,14,15
11,O270722,12,False,0,Sapota_1.jpg,0,a,Sapota_1_16.png,12,correct,a,1147,168038.99,169186.05,9,15,16
12,O270722,13,False,0,Gac_1.jpg,0,q,Gac_1_14.png,13,correct,q,661,175133.14,175794.72,9,17,14
13,O270722,14,False,0,ZF_1.jpg,0,q,ZF_1_14.png,14,correct,q,668,181766.98,182435.1,9,17,14
14,O270722,15,False,0,Noni_1.jpg,0,w,Noni_1_15.png,15,correct,w,646,188380.86,189027.15,9,14,15
15,O270722,16,False,0,Finger_1.jpg,0,s,Finger_1_17.png,16,incorrect,w,1539,194974.72,196514.33,9,16,17
16,O270722,17,False,0,ZF_1.jpg,0,w,ZF_1_15.png,17,correct,w,1037,202469.06,203506.07,9,17,15
17,O270722,18,False,0,Tamanid_1.jpg,0,q,Tamanid_1_14.png,18,correct,q,1110,209453.18,210563.23,9,16,14
18,O270722,19,False,0,Finger_1.jpg,0,q,Finger_1_14.png,19,incorrect,a,1654,216507.29,218162.19,9,16,14
19,O270722,20,False,0,Sapota_1.jpg,0,s,Sapota_1_17.png,20,correct,s,1523,224111.67,225635.0,9,15,17
20,O270722,21,False,0,Noni_1.jpg,0,a,Noni_1_16.png,21,correct,a,1084,231606.03,232690.15,9,14,16
21,O270722,22,False,0,Ake_1.jpg,0,s,Ake_1_17.png,22,correct,s,669,238660.16,239329.39,9,15,17
22,O270722,23,False,0,Ackee_1.jpg,0,a,Ackee_1_16.png,23,correct,a,1070,245284.06,246354.85,9,14,16
23,O270722,24,False,0,Gac_1.jpg,0,w,Gac_1_15.png,24,correct,w,653,252308.16,252961.89,9,17,15
24,O270722,25,False,0,Ackee_1.jpg,0,s,Ackee_1_17.png,25,incorrect,a,749,258902.02,259651.33,9,14,17
25,O270722,26,False,0,Gac_1.jpg,0,a,Gac_1_16.png,26,correct,a,1126,265595.91,266722.7,9,17,16
26,O270722,27,False,0,ZF_1.jpg,0,a,ZF_1_16.png,27,incorrect,s,1365,272670.01,274035.39,9,17,16
27,O270722,28,False,0,Tamanid_1.jpg,0,w,Tamanid_1_15.png,28,incorrect,a,834,279984.33,280819.05,9,16,15
28,O270722,29,False,0,Finger_1.jpg,0,w,Finger_1_15.png,29,correct,w,1409,286768.21,288177.87,9,16,15
29,O270722,30,False,0,Sapota_1.jpg,0,q,Sapota_1_14.png,30,correct,q,1464,294122.51,295587.13,9,15,14
30,O270722,31,False,0,Noni_1.jpg,0,s,Noni_1_17.png,31,correct,s,893,301556.83,302450.68,9,14,17
31,O270722,32,False,0,Ake_1.jpg,0,q,Ake_1_14.png,32,correct,q,836,308430.87,309267.36,9,15,14
0,K280722,1,False,0,Gac_1.jpg,0,s,Gac_1_17.png,1,correct,s,1015,91651.76,92667.55,12,15,17
1,K280722,2,False,0,ZF_1.jpg,0,s,ZF_1_17.png,2,correct,s,788,98615.85,99404.04,12,15,17
2,K280722,3,False,0,Ackee_1.jpg,0,q,Ackee_1_14.png,3,correct,q,1589,105349.78,106939.47,12,16,14
3,K280722,4,False,0,Noni_1.jpg,0,q,Noni_1_14.png,4,correct,q,1088,112924.21,114013.12,12,16,14
4,K280722,5,False,0,Sapota_1.jpg,0,w,Sapota_1_15.png,5,correct,w,1227,119968.29,121195.95,12,17,15
5,K280722,6,False,0,Ake_1.jpg,0,w,Ake_1_15.png,6,correct,w,1110,127142.46,128253.08,12,17,15
6,K280722,7,False,0,Tamanid_1.jpg,0,a,Tamanid_1_16.png,7,correct,a,1581,134206.55,135787.96,12,14,16
7,K280722,8,False,0,Finger_1.jpg,0,a,Finger_1_16.png,8,incorrect,q,1870,141740.95,143611.38,12,14,16
8,K280722,9,False,0,Ake_1.jpg,0,a,Ake_1_16.png,9,correct,a,1262,149565.57,150827.65,12,17,16
9,K280722,10,False,0,Tamanid_1.jpg,0,s,Tamanid_1_17.png,10,correct,s,1951,156779.73,158731.49,12,14,17
10,K280722,11,False,0,Ackee_1.jpg,0,w,Ackee_1_15.png,11,correct,w,905,164674.4,165579.9,12,16,15
11,K280722,12,False,0,Sapota_1.jpg,0,a,Sapota_1_16.png,12,correct,a,882,171528.34,172411.34,12,17,16
